sku,title,design,metal,plating,length,gross_weight_g,stone_weight_g,inferred_non_stone_mass_g,total_carat,stone_details,certificate_status,cny_retail,cny_vip1,starsgem_usd_retail,starsgem_usd_vip1,market_usd_retail_at_6_7703,market_usd_vip1_at_6_7703,site_fx_cny_per_usd,market_fx_cny_per_usd,site_uplift_pct,url,accessed
AuDP0000190Y-P2,14K Yellow Gold Lab Diamond Necklace 1.095ct,Round over pear,14K yellow gold,No plating,40+5cm,2.06,0.219,1.841,1.095,"0.935ct CVD DEF/VS pear 5.3x8.3mm; 0.160ct DEF/VS round 3.4mm",None certified,2540.78,2489.96,410.47,402.26,375.28,367.78,6.19,6.7703,9.37,https://starsgemmall.com/#/detail?=25751_14K+Yellow+Gold+Lab+Diamond+Necklace+1.095ct+AuDP0000190Y-P2.html,2026-07-24
AuDP1033281Y-12,10K Yellow Lab Diamond Necklace 1.105ct,Round solitaire,10K yellow gold,No plating,40+5cm,1.67,0.221,1.449,1.105,1.105ct CVD DEF/VS round 6.5-6.7mm,Listing states IGI 19J161052602,1978.79,1939.21,319.68,313.28,292.28,286.43,6.19,6.7703,9.37,https://starsgemmall.com/#/detail?=21313_10K+Yellow+Lab+Diamond+Necklace+1.105ct+AuDP1033281Y-12.html,2026-07-24
AuDP0003441-1,10K White Gold Lab Diamond Necklace 0.487ct,Pear solitaire,10K white gold,Rhodium plated,40+5cm,1.36,0.0974,1.2626,0.487,0.487ct DEF/VS pear 4.5x6.5mm,Listing states IGI 77J062772510,1450.96,1421.94,234.40,229.72,214.31,210.03,6.19,6.7703,9.37,https://starsgemmall.com/#/detail?=23401_10K+White+Gold+Lab+Diamond+Necklace+0.487ct+AuDP0003441-1.html,2026-07-24
AuDP0003421-5,10K Yellow Gold Lab Diamond Necklace 0.647ct,Drilled floating pear,10K yellow gold,No plating,"Adjustable to 19in/48.26cm",1.09,0.1294,0.9606,0.647,0.647ct DEF/VS pear 5x7mm,Listing states IGI 59J521952508,1608.42,1576.25,259.84,254.64,237.57,232.82,6.19,6.7703,9.37,https://starsgemmall.com/#/detail?=22908_10K+Yellow+Gold+Lab+Diamond+Necklace++0.647ct+AuDP0003421-5.html,2026-07-24
AuDP4011413(p1),18K White Gold Lab Diamond Necklace 1.12ct,Round over pear,18K white gold,Rhodium plated,40+5cm,2.79,0.224,2.566,1.12,"1.02ct CVD DEF/VS pear 5.5x9mm; 0.10ct DEF/VS round 3.0mm",No report stated,4214.08,4129.79,680.79,667.17,622.44,609.99,6.19,6.7703,9.37,https://starsgemmall.com/#/detail?=22081_18K+White+Gold+Lab+Diamond+Necklace+1.12ct+AuDP4011413(p1).html,2026-07-24
